accrediops-backend  | [08/May/2026 08:15:18] "GET /api/health/ HTTP/1.1" 200 86
accrediops-backend  | [08/May/2026 08:15:18] "GET /api/auth/session/ HTTP/1.1" 200 147
accrediops-backend  | [08/May/2026 08:15:19] "GET /api/frameworks/ HTTP/1.1" 200 68
accrediops-backend  | [08/May/2026 08:15:19] "GET /api/projects/ HTTP/1.1" 200 564
accrediops-backend  | [08/May/2026 08:15:19] "GET /api/auth/session/ HTTP/1.1" 200 147
accrediops-backend  | [08/May/2026 08:15:19] "GET /api/auth/session/ HTTP/1.1" 200 147
accrediops-backend  | [08/May/2026 08:15:21] "GET /api/projects/356/standards-progress/ HTTP/1.1" 200 12776
accrediops-backend  | [08/May/2026 08:15:21] "GET /api/projects/356/ HTTP/1.1" 200 512
accrediops-backend  | [08/May/2026 08:15:21] "GET /api/projects/356/areas-progress/ HTTP/1.1" 200 1987
accrediops-backend  | [08/May/2026 08:15:22] "GET /api/dashboard/worklist/?project_id=356&area_id=8&page=1&page_size=200 HTTP/1.1" 200 10325
accrediops-backend  | [08/May/2026 08:15:22] "GET /api/dashboard/worklist/?project_id=356&page=1&page_size=200 HTTP/1.1" 200 133019
accrediops-backend  | [08/May/2026 08:15:22] "GET /api/dashboard/worklist/?project_id=356&area_id=8&standard_id=29&page=1&page_size=200 HTTP/1.1" 200 6876
accrediops-backend  | [08/May/2026 08:15:26] "GET /api/auth/session/ HTTP/1.1" 200 147
accrediops-backend  | [08/May/2026 08:15:26] "GET /api/projects/ HTTP/1.1" 200 564
accrediops-backend  | [08/May/2026 08:15:26] "GET /api/admin/frameworks/ HTTP/1.1" 200 68
accrediops-backend  | [08/May/2026 08:15:26] "GET /api/admin/import/logs/ HTTP/1.1" 200 57040
accrediops-backend  | [08/May/2026 08:15:34] "GET /api/health/ HTTP/1.1" 200 86
accrediops-backend  | [08/May/2026 08:15:38] "GET /api/auth/session/ HTTP/1.1" 200 59
accrediops-backend  | [08/May/2026 08:15:40] "POST /api/auth/login/ HTTP/1.1" 200 147
accrediops-backend  | [08/May/2026 08:15:40] "GET /api/auth/session/ HTTP/1.1" 200 147
accrediops-backend  | [08/May/2026 08:15:40] "GET /api/auth/session/ HTTP/1.1" 200 147
accrediops-backend  | [08/May/2026 08:15:41] "GET /api/frameworks/ HTTP/1.1" 200 68
accrediops-backend  | [08/May/2026 08:15:41] "GET /api/projects/ HTTP/1.1" 200 564
accrediops-backend  | [08/May/2026 08:15:42] "GET /api/auth/session/ HTTP/1.1" 200 147
accrediops-backend  | [08/May/2026 08:15:50] "GET /api/health/ HTTP/1.1" 200 86
accrediops-backend  | [08/May/2026 08:15:51] "GET /api/auth/session/ HTTP/1.1" 200 59
accrediops-backend  | [08/May/2026 08:15:51] "GET /api/auth/session/ HTTP/1.1" 200 147
accrediops-backend  | [08/May/2026 08:15:52] "GET /api/frameworks/ HTTP/1.1" 200 68
accrediops-backend  | [08/May/2026 08:15:52] "GET /api/projects/ HTTP/1.1" 200 564
accrediops-backend  | [08/May/2026 08:15:53] "GET /api/auth/session/ HTTP/1.1" 200 147
accrediops-backend  | [08/May/2026 08:15:54] "GET /api/auth/session/ HTTP/1.1" 200 147
accrediops-backend  | [08/May/2026 08:15:55] "GET /api/frameworks/ HTTP/1.1" 200 68
accrediops-backend  | [08/May/2026 08:15:56] "GET /api/auth/session/ HTTP/1.1" 200 147
accrediops-backend  | [08/May/2026 08:16:02] "GET /api/auth/session/ HTTP/1.1" 200 147
accrediops-backend  | [08/May/2026 08:16:03] "GET /api/frameworks/ HTTP/1.1" 200 68
accrediops-backend  | [08/May/2026 08:16:03] "GET /api/projects/ HTTP/1.1" 200 564
accrediops-backend  | [08/May/2026 08:16:03] "GET /api/auth/session/ HTTP/1.1" 200 147
accrediops-backend  | [08/May/2026 08:16:03] "GET /api/admin/frameworks/ HTTP/1.1" 200 68
accrediops-backend  | [08/May/2026 08:16:03] "GET /api/admin/import/logs/ HTTP/1.1" 200 57040
accrediops-backend  | [08/May/2026 08:16:03] "GET /api/projects/ HTTP/1.1" 200 564
accrediops-backend  | [08/May/2026 08:16:03] "POST /api/projects/ HTTP/1.1" 201 521
accrediops-backend  | [08/May/2026 08:16:04] "POST /api/projects/357/initialize-from-framework/ HTTP/1.1" 200 96
accrediops-backend  | [08/May/2026 08:16:04] "GET /api/frameworks/ HTTP/1.1" 200 68
accrediops-backend  | [08/May/2026 08:16:04] "GET /api/projects/?page_size=all HTTP/1.1" 200 1068
accrediops-backend  | [08/May/2026 08:16:04] "GET /api/frameworks/ HTTP/1.1" 200 68
accrediops-backend  | [08/May/2026 08:16:04] "POST /api/projects/ HTTP/1.1" 201 535
accrediops-backend  | [08/May/2026 08:16:05] "POST /api/projects/358/initialize-from-framework/ HTTP/1.1" 200 96
